"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"C. Hüttig","A. Glerum",1,"co-authorship"
"C. R. Wilson","A. Glerum",1,"co-authorship"
"C. Stein","A. Glerum",1,"co-authorship"
"C. Thieulot","A. Glerum",1,"co-authorship"
"D. R. Davies","A. Glerum",1,"co-authorship"
"H. Samuel","A. Glerum",1,"co-authorship"
"L. Noack","A. Glerum",1,"co-authorship"
"N. Tosi","A. Glerum",1,"co-authorship"
"P. Maierová","A. Glerum",1,"co-authorship"
"S. C. Kramer","A. Glerum",1,"co-authorship"
"D. Pollard","A. M. Forte",1,"co-authorship"
"J. Austermann","A. M. Forte",1,"co-authorship"
"J. X. Mitrovica","A. M. Forte",1,"co-authorship"
"R. Moucha","A. M. Forte",1,"co-authorship"
"J. Austermann","A. Rovere",1,"co-authorship"
"J. X. Mitrovica","A. Rovere",1,"co-authorship"
"P. Huybers","A. Rovere",1,"co-authorship"
"A. Glerum","A. Rozel",1,"co-authorship"
"C. Hüttig","A. Rozel",1,"co-authorship"
"C. R. Wilson","A. Rozel",1,"co-authorship"
"C. Stein","A. Rozel",1,"co-authorship"
"C. Thieulot","A. Rozel",1,"co-authorship"
"D. R. Davies","A. Rozel",1,"co-authorship"
"H. Samuel","A. Rozel",1,"co-authorship"
"L. Noack","A. Rozel",1,"co-authorship"
"M. Fraters","A. Rozel",1,"co-authorship"
"N. Tosi","A. Rozel",1,"co-authorship"
"P. Maierová","A. Rozel",1,"co-authorship"
"S. C. Kramer","A. Rozel",1,"co-authorship"
"W. Spakman","A. Rozel",1,"co-authorship"
"B. Steinberger","A. Schaeffer",1,"co-authorship"
"E. Bredow","A. Schaeffer",1,"co-authorship"
"S. Lebedev","A. Schaeffer",1,"co-authorship"
"I. Rose","B. Buffett",2,"co-authorship"
"E. Bredow","B. Steinberger",3,"co-authorship"
"J. Dannberg","B. Steinberger",1,"co-authorship"
"R. Gassmöller","B. Steinberger",1,"co-authorship"
"A. Glerum","C. Blom",1,"co-authorship"
"C. Thieulot","C. Blom",1,"co-authorship"
"M. Fraters","C. Blom",1,"co-authorship"
"C. Stein","C. Hüttig",1,"co-authorship"
"L. Noack","C. Hüttig",1,"co-authorship"
"N. Tosi","C. Hüttig",1,"co-authorship"
"S. Zhang","C. O'Neill",1,"co-authorship"
"C. Hüttig","C. R. Wilson",1,"co-authorship"
"C. Stein","C. R. Wilson",1,"co-authorship"
"D. R. Davies","C. R. Wilson",1,"co-authorship"
"H. Samuel","C. R. Wilson",1,"co-authorship"
"L. Noack","C. R. Wilson",1,"co-authorship"
"N. Tosi","C. R. Wilson",1,"co-authorship"
"P. Maierová","C. R. Wilson",1,"co-authorship"
"N. Tosi","C. Stein",1,"co-authorship"
"A. Glerum","C. Thieulot",1,"co-authorship"
"C. Hüttig","C. Thieulot",1,"co-authorship"
"C. R. Wilson","C. Thieulot",1,"co-authorship"
"C. Stein","C. Thieulot",1,"co-authorship"
"D. R. Davies","C. Thieulot",1,"co-authorship"
"H. Samuel","C. Thieulot",1,"co-authorship"
"L. Noack","C. Thieulot",1,"co-authorship"
"N. Tosi","C. Thieulot",1,"co-authorship"
"P. Maierová","C. Thieulot",1,"co-authorship"
"S. C. Kramer","C. Thieulot",1,"co-authorship"
"A. M. Forte","D. B. Rowley",1,"co-authorship"
"D. Pollard","D. B. Rowley",1,"co-authorship"
"J. Austermann","D. B. Rowley",1,"co-authorship"
"J. X. Mitrovica","D. B. Rowley",1,"co-authorship"
"R. M. DeConto","D. B. Rowley",1,"co-authorship"
"R. Moucha","D. B. Rowley",1,"co-authorship"
"E. G. Puckett","D. L. Turcotte",1,"co-authorship"
"J. Austermann","D. Pollard",1,"co-authorship"
