"Group.1","Group.2","co_authorships"
"C. Hüttig","A. Glerum",1
"C. R. Wilson","A. Glerum",1
"C. Stein","A. Glerum",1
"C. Thieulot","A. Glerum",1
"D. R. Davies","A. Glerum",1
"H. Samuel","A. Glerum",1
"L. Noack","A. Glerum",1
"N. Tosi","A. Glerum",1
"P. Maierová","A. Glerum",1
"S. C. Kramer","A. Glerum",1
"D. Pollard","A. M. Forte",1
"J. Austermann","A. M. Forte",1
"J. X. Mitrovica","A. M. Forte",1
"R. Moucha","A. M. Forte",1
"J. Austermann","A. Rovere",1
"J. X. Mitrovica","A. Rovere",1
"P. Huybers","A. Rovere",1
"A. Glerum","A. Rozel",1
"C. Hüttig","A. Rozel",1
"C. R. Wilson","A. Rozel",1
"C. Stein","A. Rozel",1
"C. Thieulot","A. Rozel",1
"D. R. Davies","A. Rozel",1
"H. Samuel","A. Rozel",1
"L. Noack","A. Rozel",1
"M. Fraters","A. Rozel",1
"N. Tosi","A. Rozel",1
"P. Maierová","A. Rozel",1
"S. C. Kramer","A. Rozel",1
"W. Spakman","A. Rozel",1
"B. Steinberger","A. Schaeffer",1
"E. Bredow","A. Schaeffer",1
"S. Lebedev","A. Schaeffer",1
"I. Rose","B. Buffett",2
"E. Bredow","B. Steinberger",3
"J. Dannberg","B. Steinberger",1
"R. Gassmöller","B. Steinberger",1
"A. Glerum","C. Blom",1
"C. Thieulot","C. Blom",1
"M. Fraters","C. Blom",1
"C. Stein","C. Hüttig",1
"L. Noack","C. Hüttig",1
"N. Tosi","C. Hüttig",1
"S. Zhang","C. O'Neill",1
"C. Hüttig","C. R. Wilson",1
"C. Stein","C. R. Wilson",1
"D. R. Davies","C. R. Wilson",1
"H. Samuel","C. R. Wilson",1
"L. Noack","C. R. Wilson",1
"N. Tosi","C. R. Wilson",1
"P. Maierová","C. R. Wilson",1
"N. Tosi","C. Stein",1
"A. Glerum","C. Thieulot",1
"C. Hüttig","C. Thieulot",1
"C. R. Wilson","C. Thieulot",1
"C. Stein","C. Thieulot",1
"D. R. Davies","C. Thieulot",1
"H. Samuel","C. Thieulot",1
