"","allauthors","Freq"
"1"," {\'A}rnad{\'o}ttir, T.",1
"2"," Aagaard, B.",2
"3"," Aagaard, B. T.",1
"4"," Abers, G. A.",1
"5"," Abrahamson, N.",1
"6"," Abrahamson, N. A.",1
"7"," Abreu, R.",2
"8"," Adalgeirsdottir, G.",1
"9"," Adam, J. M-C",1
"10"," Afonso, J. C.",1
"11"," Agata, R.",1
"12"," Agosta, C.",1
"13"," Agostini, A.",1
"14"," Ahern, T.",1
"15"," Ailleres, L.",1
"16"," Aiman, Y. A.",1
"17"," Aivazis, M.",1
"18"," Aizenberg, A. M.",1
"19"," Albert, R.",1
"20"," Allemand, P.",1
"21"," Allen, A.",1
"22"," Allen, M. B.",1
"23"," Allen, R. M.",1
"24"," Alp, E. E.",1
"25"," Altamura, S.",1
"26"," Amado Mendes, P.",1
"27"," Amit, H.",1
"28"," Amorosi, A.",1
"29"," Ampuero, J-P",9
"30"," Ampuero, J. P.",3
"31"," An, C.",1
"32"," Anderson, D. L.",1
"33"," Andersson, F.",1
"34"," Andrews, D. J.",1
"35"," Ansan, V.",1
"36"," Antonioli, F.",3
"37"," Antoshechkina, P.",1
"38"," Anzidei, M.",2
"39"," Aochi, H.",1
"40"," Aoki, Y.",1
"41"," Archuleta, R.",1
"42"," Arkani-Hamed, J.",2
"43"," Armitage, J. J.",1
"44"," Arndt, N. T.",1
"45"," Asaithambi, R.",1
"46"," Asimow, P.",1
"47"," Aslam, K.",1
"48"," Aubert, J.",3
"49"," Audet, P.",1
"50"," Auer, L.",1
"51"," Augustson, K. C.",1
"52"," Auriemma, R.",1
"53"," Aurnou, J. M.",1
"54"," Avery, M.",1
"55"," Avouac, J-P",5
"56"," B??se, M.",1
"57"," B{\'a}ez, J. C.",1
"58"," B{\""o}se, M.",2
"59"," B{\""u}rgmann, R.",1
"60"," Baez, J. C.",2
"61"," Bahavar, M.",2
"62"," Bai, K.",1
"63"," Baillet, L.",1
"64"," Baker, A. M.",1
"65"," Bakker, M.",1
"66"," Ballmer, M. D.",2
"67"," Bamber, J. L.",2
"68"," Banerdt, B.",2
"69"," Banerdt, W. B.",5
"70"," Banerjee, P.",2
"71"," Banfield, D.",1
"72"," Bangerth, W.",7
"73"," Bangerth, Wolfgang",1
"74"," Banks, M.",2
"75"," Bannister, S.",2
"76"," Bansal, A. K.",1
"77"," Bao, X.",1
"78"," Bar{\'o}n, J.",2
"79"," Barall, M.",4
"80"," Baranov, A. A.",1
"81"," Baratoux, D.",1
"82"," Barbot, S.",4
"83"," Barbot, S. D.",2
"84"," Bard, P-Y",1
"85"," Barklage, M.",1
"86"," Barletta, V. R.",1
"87"," Barnes, C.",2
"88"," Barnhart, W. D.",3
"89"," Barnouin, O.",1
"90"," Barnouin, O. S.",1
"91"," Barsuglia, M.",2
"92"," Bartholomaus, T.",1
"93"," Basini, P.",5
"94"," Bauer, K.",1
"95"," Beavan, J.",1
"96"," Bechor, N.",1
"97"," Becker, M.",1
"98"," Becker, T. W.",11
"99"," Bedford, J.",3
"100"," Bedford, J. R.",1
"101"," Beeler, N. M.",1
"102"," Begg, J.",1
"103"," Beghein, C.",3
"104"," Behn, M. D.",3
"105"," Bekki, Y.",1
"106"," Bell, S. W.",1
"107"," Benjeddou, S.",1
"108"," Bennati, L.",1
"109"," Bennett, R. A.",1
"110"," Berbellini, A.",1
"111"," Bernard, P.",1
"112"," Bertrand, H.",1
"113"," Beucler, E.",2
"114"," Bevis, M.",4
"115"," Beyer, R.",1
"116"," Bhandary, N. P.",2
"117"," Bhat, H.",1
"118"," Bianco, T. A.",1
"119"," Billen, M. I.",12
"120"," Bina, C. R.",1
"121"," Bindschadler, D. L.",3
"122"," Bini, M.",1
"123"," Blackman, D.",1
"124"," Blanc, E.",1
"125"," Blitz, C.",2
"126"," Blom, C.",1
"127"," Bock, Y.",2
"128"," Bodin, T.",1
"129"," Bonaccorso, A.",2
"130"," Bonamini, M.",1
"131"," Bondesan, A.",1
"132"," Bonforte, A.",1
"133"," Bordes, Clarisse",1
"134"," Borisov, D.",1
"135"," Boschi, E.",1
"136"," Boschi, L.",5
"137"," Bostock, M. G.",1
"138"," Bottazzi, F.",1
"139"," Bottke, W.",1
"140"," Bou{\'e}, P.",1
"141"," Boue, P.",1
"142"," Bouilhol, P.",5
"143"," Boy, J-P",1
"144"," Bozda~, E.",1
"145"," Bozdag, E.",5
"146"," Bradley, S.",1
"147"," Braitenberg, C.",1
"148"," Brandon, A. D.",1
"149"," Brandon, M. T.",1
"150"," Bray, V.",1
"151"," Bredow, E.",2
"152"," Breuer, D.",1
"153"," Briand, X.",1
"154"," Briggs, R.",1
"155"," Brinkhuis, H.",1
"156"," Brissaud, Q.",1
"157"," Brito, Daniel",1
"158"," Broggini, F.",1
"159"," Brown, B.",1
"160"," Brown, L. D.",1
"161"," Brownlee, S. J.",1
"162"," Bruckner, H.",1
"163"," Bruthiaux, E.",1
"164"," Buck, R.",1
"165"," Buck, W. R.",2
"166"," Buffett, B.",4
"167"," Buffett, B. A.",1
"168"," Buie, M.",1
"169"," Bull, A. L.",1
"170"," Burak Yikilmaz, M.",1
"171"," Buratti, B.",1
"172"," Burgos, G.",1
"173"," Burstedde, C.",1
"174"," Busse, F.",1
"175"," Bydlon, S.",1
"176"," C??rdova, L.",1
"177"," Cadena-Isaza, A.",1
"178"," Cadu, A.",1
"179"," Cagnioncle, A.",1
"180"," Cai, M.",2
"181"," Calais, E.",2
"182"," Calandra, H.",1
