"","ABSTRACT","ADDRESS","AUTHOR","BIBTEXKEY","BOOKTITLE","CATEGORY","CHAPTER","DOI","EDITOR","ISSN","JOURNAL","NUMBER","OPTKEYWORDS","OPTKEYWORDS.1","OPTNOTE","OPTURL","PAGES","PUBLISHER","SERIES","TITLE","VOLUME","YEAR","AUTHOR_1","AUTHOR_2","AUTHOR_3","AUTHOR_4","AUTHOR_5","AUTHOR_6","AUTHOR_7","AUTHOR_8","AUTHOR_9","AUTHOR_10","AUTHOR_11","AUTHOR_12","AUTHOR_13","AUTHOR_14","AUTHOR_15","AUTHOR_16","AUTHOR_17","AUTHOR_18","AUTHOR_19","AUTHOR_20","AUTHOR_21","AUTHOR_22","AUTHOR_23","AUTHOR_24","AUTHOR_25","AUTHOR_26","AUTHOR_27","AUTHOR_28","AUTHOR_29","AUTHOR_30","AUTHOR_31","AUTHOR_32","AUTHOR_33","AUTHOR_34","AUTHOR_35","AUTHOR_36","AUTHOR_37","AUTHOR_38","AUTHOR_39","AUTHOR_40","AUTHOR_41","AUTHOR_42","AUTHOR_43","AUTHOR_44","AUTHOR_45","AUTHOR_46","AUTHOR_47","AUTHOR_48","AUTHOR_49","AUTHOR_50","AUTHOR_51","AUTHOR_52","AUTHOR_53","AUTHOR_54","AUTHOR_55","AUTHOR_56","AUTHOR_57","AUTHOR_58","AUTHOR_59","AUTHOR_60","AUTHOR_61","AUTHOR_62","AUTHOR_63","AUTHOR_64"
"1",NA,NA,"Austermann, J. and  Pollard, D. and  Mitrovica, J. X. and  Moucha, R. and  Forte, A. M. and  DeConto, R. M. and  Rowley, D. B. and  Raymo, M. E.","Austermann_etal2015",NA,"ARTICLE",NA,"10.1130/G36988.1",NA,NA,"Geology","10","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1691), last updated on Fri, 11 Jan 2019 13:47:22 -0800","https://pubs.geoscienceworld.org/geology/article/43/10/927-930/131756","927--930",NA,NA,"The impact of dynamic topography change on Antarctic ice sheet stability during the mid-Pliocene warm period","43","2015","Austermann, J."," Pollard, D."," Mitrovica, J. X."," Moucha, R."," Forte, A. M."," DeConto, R. M."," Rowley, D. B."," Raymo, M. E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,"Tosi, N. and  Stein, C. and  Noack, L. and  H{\""u}ttig, C. and  Maierov{\'a}, P. and  Samuel, H. and  Davies, D. R. and  Wilson, C. R. and  Kramer, S. C. and  Thieulot, C. and  Glerum, A. and  Fraters, M. and  Spakman, W. and  Rozel, A. and  Tackley, P. J.","Tosi_etal2015",NA,"ARTICLE",NA,"10.1002/2015GC005807",NA,NA,"Geochemistry, Geophysics, Geosystems","7","ASPECT",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1692), last updated on Fri, 11 Jan 2019 13:49:14 -0800","http://doi.wiley.com/10.1002/2015GC005807","2175--2196",NA,NA,"A community benchmark for viscoplastic thermal convection in a 2-D square box","16","2015","Tosi, N."," Stein, C."," Noack, L."," H{\""u}ttig, C."," Maierov{\'a}, P."," Samuel, H."," Davies, D. R."," Wilson, C. R."," Kramer, S. C."," Thieulot, C."," Glerum, A."," Fraters, M."," Spakman, W."," Rozel, A."," Tackley, P. J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"Aagaard, B. T. and  Knepley, M. G. and  Williams, C. A.","Aagaard_etal2013_2",NA,"ARTICLE",NA,"10.1002/jgrb.50217",NA,"2169-9313","Journal of Geophysical Research: Solid Earth","6","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=621), last updated on Fri, 10 Feb 2017 10:38:28 -0800","http://doi.wiley.com/10.1002/jgrb.50217","3059--3079",NA,NA,"A domain decomposition approach to implementing fault slip in finite-element models of quasi-static and dynamic crustal deformation","118","2013","Aagaard, B. T."," Knepley, M. G."," Williams, C. A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,"Adam, J. M-C and  Romanowicz, B.","Adam+Romanowicz2015",NA,"ARTICLE",NA,"10.1016/j.pepi.2015.06.005",NA,"0031-9201","Physics of the Earth and Planetary Interiors",NA,"AxiSEM",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=754), last updated on Fri, 15 Apr 2016 13:02:33 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0031920115000941","103--116",NA,NA,"Global scale observations of scattered energy near the inner-core boundary: Seismic constraints on the base of the outer-core","245","2015","Adam, J. M-C"," Romanowicz, B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,"Agius, M. R. and  Lebedev, S.","Agius+Lebedev2014",NA,"ARTICLE",NA,"10.1093/gji/ggu326",NA,"0956-540X","Geophysical Journal International","3","Mineos",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=958), last updated on Fri, 15 Apr 2016 13:14:36 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1093/gji/ggu326","1395--1415",NA,NA,"Shear-velocity structure, radial anisotropy and dynamics of the Tibetan crust","199","2014","Agius, M. R."," Lebedev, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,"Agius, M. R. and  Lebedev, S.","Agius+Lebedev2013",NA,"ARTICLE",NA,"10.1002/ggge.20274",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","10","Mineos",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=615), last updated on Fri, 15 Apr 2016 12:53:52 -0700","http://doi.wiley.com/10.1002/ggge.20274","4260--4281",NA,NA,"Tibetan and Indian lithospheres in the upper mantle beneath Tibet: Evidence from broadband surface-wave dispersion: Tibetan, Indian Lithosphere Beneath Tibet","14","2013","Agius, M. R."," Lebedev, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,"Ali, S. T. and  Freed, A. M.","Ali+Freed2010",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2010.04784.x",NA,"0956540X","Geophysical Journal International","2","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1017), last updated on Fri, 15 Apr 2016 13:17:51 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2010.04784.x","557--571",NA,NA,"Contemporary deformation and stressing rates in Southern Alaska: Deformation and stressing rates in S. Alaska","183","2010","Ali, S. T."," Freed, A. M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"Allen, R. M. and  Tromp, J.","Allen+Tromp2005",NA,"ARTICLE",NA,"10.1111/j.1365-246X.2005.02600.x",NA,"0956540X","Geophysical Journal International","2","SPECFEM3D Cartesian",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=984), last updated on Fri, 15 Apr 2016 13:16:00 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1111/j.1365-246X.2005.02600.x","373--386",NA,NA,"Resolution of regional seismic models: Squeezing the Iceland anomaly","161","2005","Allen, R. M."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,"Alparone, S. and  Bonaccorso, A. and  Bonforte, A. and  Currenti, G.","Alparone_etal2013",NA,"ARTICLE",NA,"10.1002/jgrb.50364",NA,"2169-9313","Journal of Geophysical Research: Solid Earth","9","PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=623), last updated on Fri, 15 Apr 2016 12:54:25 -0700","http://doi.wiley.com/10.1002/jgrb.50364","5098--5108",NA,NA,"Long-term stress-strain analysis of volcano flank instability: The eastern sector of Etna from 1980 to 2012: LONG-TERM STRAIN OF ETNA UNSTABLE FLANK","118","2013","Alparone, S."," Bonaccorso, A."," Bonforte, A."," Currenti, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"Andrews, E. R. and  Billen, M. I.","Andrews+Billen2009",NA,"ARTICLE",NA,"10.1016/j.tecto.2007.09.004",NA,"0040-1951","Tectonophysics","1-4","CitcomCU",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=761), last updated on Fri, 15 Apr 2016 13:02:57 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0040195107003186","60--69",NA,NA,"Rheologic controls on the dynamics of slab detachment","464","2009","Andrews, E. R."," Billen, M. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
