"Group.1","Group.2","Relationship_type","Count","co_hacks"
"A. Glerum","C. Thieulot","hack_2014",1,5
"A. Glerum","I. Rose","hack_2014",1,4
"A. Glerum","J. Austermann","hack_2014",1,5
"A. Glerum","J. Dannberg","hack_2014",1,5
"A. Glerum","K. Arredondo","hack_2014",1,1
"A. Glerum","M. Fraters","hack_2014",1,5
"A. Glerum","N. Zhang","hack_2014",1,1
"A. Glerum","R. Gassmöller","hack_2014",1,5
"A. Glerum","R. Grove","hack_2014",1,3
"A. Glerum","S. Stamps","hack_2014",1,2
"A. Glerum","S. Zhang","hack_2014",1,1
"A. Glerum","T. Heister","hack_2014",1,5
"A. Glerum","W. Bangerth","hack_2014",1,5
"C. Thieulot","I. Rose","hack_2014",1,4
"C. Thieulot","J. Austermann","hack_2014",1,5
"C. Thieulot","J. Dannberg","hack_2014",1,5
"C. Thieulot","K. Arredondo","hack_2014",1,1
"C. Thieulot","M. Fraters","hack_2014",1,5
"C. Thieulot","N. Zhang","hack_2014",1,1
"C. Thieulot","R. Gassmöller","hack_2014",1,5
"C. Thieulot","R. Grove","hack_2014",1,3
"C. Thieulot","S. Stamps","hack_2014",1,2
"C. Thieulot","S. Zhang","hack_2014",1,1
"C. Thieulot","T. Heister","hack_2014",1,5
"C. Thieulot","W. Bangerth","hack_2014",1,5
"I. Rose","J. Austermann","hack_2014",1,4
"I. Rose","J. Dannberg","hack_2014",1,4
"I. Rose","K. Arredondo","hack_2014",1,1
"I. Rose","M. Fraters","hack_2014",1,4
"I. Rose","N. Zhang","hack_2014",1,1
"I. Rose","R. Gassmöller","hack_2014",1,4
"I. Rose","R. Grove","hack_2014",1,3
"I. Rose","S. Stamps","hack_2014",1,2
"I. Rose","S. Zhang","hack_2014",1,1
"I. Rose","T. Heister","hack_2014",1,4
"I. Rose","W. Bangerth","hack_2014",1,4
"J. Austermann","J. Dannberg","hack_2014",1,5
"J. Austermann","K. Arredondo","hack_2014",1,1
"J. Austermann","M. Fraters","hack_2014",1,5
"J. Austermann","N. Zhang","hack_2014",1,1
"J. Austermann","R. Gassmöller","hack_2014",1,5
"J. Austermann","R. Grove","hack_2014",1,3
"J. Austermann","S. Stamps","hack_2014",1,2
"J. Austermann","S. Zhang","hack_2014",1,1
"J. Austermann","T. Heister","hack_2014",1,5
"J. Austermann","W. Bangerth","hack_2014",1,5
"J. Dannberg","K. Arredondo","hack_2014",1,1
"J. Dannberg","M. Fraters","hack_2014",1,5
"J. Dannberg","N. Zhang","hack_2014",1,1
"J. Dannberg","R. Gassmöller","hack_2014",1,5
"J. Dannberg","R. Grove","hack_2014",1,3
"J. Dannberg","S. Stamps","hack_2014",1,2
"J. Dannberg","S. Zhang","hack_2014",1,1
"J. Dannberg","T. Heister","hack_2014",1,5
"J. Dannberg","W. Bangerth","hack_2014",1,5
"K. Arredondo","M. Fraters","hack_2014",1,1
"K. Arredondo","N. Zhang","hack_2014",1,1
"K. Arredondo","R. Gassmöller","hack_2014",1,1
"K. Arredondo","R. Grove","hack_2014",1,1
"K. Arredondo","S. Stamps","hack_2014",1,1
"K. Arredondo","S. Zhang","hack_2014",1,1
"K. Arredondo","T. Heister","hack_2014",1,1
"K. Arredondo","W. Bangerth","hack_2014",1,1
"M. Fraters","N. Zhang","hack_2014",1,1
"M. Fraters","R. Gassmöller","hack_2014",1,5
"M. Fraters","R. Grove","hack_2014",1,3
"M. Fraters","S. Stamps","hack_2014",1,2
"M. Fraters","S. Zhang","hack_2014",1,1
"M. Fraters","T. Heister","hack_2014",1,5
"M. Fraters","W. Bangerth","hack_2014",1,5
"N. Zhang","R. Gassmöller","hack_2014",1,1
"N. Zhang","R. Grove","hack_2014",1,1
"N. Zhang","S. Stamps","hack_2014",1,1
"N. Zhang","S. Zhang","hack_2014",1,1
"N. Zhang","T. Heister","hack_2014",1,1
"N. Zhang","W. Bangerth","hack_2014",1,1
"R. Gassmöller","R. Grove","hack_2014",1,3
"R. Gassmöller","S. Stamps","hack_2014",1,2
"R. Gassmöller","S. Zhang","hack_2014",1,1
"R. Gassmöller","T. Heister","hack_2014",1,5
"R. Gassmöller","W. Bangerth","hack_2014",1,5
"R. Grove","S. Stamps","hack_2014",1,2
"R. Grove","S. Zhang","hack_2014",1,1
"R. Grove","T. Heister","hack_2014",1,3
"R. Grove","W. Bangerth","hack_2014",1,3
"S. Stamps","S. Zhang","hack_2014",1,1
"S. Stamps","T. Heister","hack_2014",1,2
"S. Stamps","W. Bangerth","hack_2014",1,2
"S. Zhang","T. Heister","hack_2014",1,1
"S. Zhang","W. Bangerth","hack_2014",1,1
"T. Heister","W. Bangerth","hack_2014",1,5
"A. Glerum","B. Myhill","hack_2015",1,3
"A. Glerum","C. Branecky","hack_2015",1,1
"A. Glerum","C. Thieulot","hack_2015",1,5
"A. Glerum","E. G. Puckett","hack_2015",1,4
"A. Glerum","E. Bredow","hack_2015",1,1
"A. Glerum","I. Rose","hack_2015",1,4
"A. Glerum","J. Austermann","hack_2015",1,5
"A. Glerum","J. Perry-Houts","hack_2015",1,1
"A. Glerum","J. Dannberg","hack_2015",1,5
"A. Glerum","K. Moore","hack_2015",1,1
"A. Glerum","L. Hwang","hack_2015",1,4
"A. Glerum","L. H. Kellogg","hack_2015",1,2
"A. Glerum","M. Rudolph","hack_2015",1,1
"A. Glerum","M. Fraters","hack_2015",1,5
"A. Glerum","R. Gassmöller","hack_2015",1,5
"A. Glerum","R. Grove","hack_2015",1,3
"A. Glerum","S. Stamps","hack_2015",1,2
"A. Glerum","S. Tarlow","hack_2015",1,1
"A. Glerum","S. Liu","hack_2015",1,3
"A. Glerum","T. Heister","hack_2015",1,5
"A. Glerum","W. Bangerth","hack_2015",1,5
"A. Glerum","Y. He","hack_2015",1,3
"B. Myhill","C. Branecky","hack_2015",1,1
"B. Myhill","C. Thieulot","hack_2015",1,3
"B. Myhill","E. G. Puckett","hack_2015",1,3
"B. Myhill","E. Bredow","hack_2015",1,1
"B. Myhill","I. Rose","hack_2015",1,2
"B. Myhill","J. Austermann","hack_2015",1,3
"B. Myhill","J. Perry-Houts","hack_2015",1,1
"B. Myhill","J. Dannberg","hack_2015",1,3
"B. Myhill","K. Moore","hack_2015",1,1
"B. Myhill","L. Hwang","hack_2015",1,3
"B. Myhill","L. H. Kellogg","hack_2015",1,1
"B. Myhill","M. Rudolph","hack_2015",1,1
"B. Myhill","M. Fraters","hack_2015",1,3
"B. Myhill","R. Gassmöller","hack_2015",1,3
"B. Myhill","R. Grove","hack_2015",1,2
"B. Myhill","S. Stamps","hack_2015",1,1
"B. Myhill","S. Tarlow","hack_2015",1,1
"B. Myhill","S. Liu","hack_2015",1,2
"B. Myhill","T. Heister","hack_2015",1,3
"B. Myhill","W. Bangerth","hack_2015",1,3
"B. Myhill","Y. He","hack_2015",1,2
"C. Branecky","C. Thieulot","hack_2015",1,1
"C. Branecky","E. G. Puckett","hack_2015",1,1
"C. Branecky","E. Bredow","hack_2015",1,1
"C. Branecky","I. Rose","hack_2015",1,1
"C. Branecky","J. Austermann","hack_2015",1,1
"C. Branecky","J. Perry-Houts","hack_2015",1,1
"C. Branecky","J. Dannberg","hack_2015",1,1
"C. Branecky","K. Moore","hack_2015",1,1
"C. Branecky","L. Hwang","hack_2015",1,1
"C. Branecky","L. H. Kellogg","hack_2015",1,1
"C. Branecky","M. Rudolph","hack_2015",1,1
"C. Branecky","M. Fraters","hack_2015",1,1
"C. Branecky","R. Gassmöller","hack_2015",1,1
"C. Branecky","R. Grove","hack_2015",1,1
"C. Branecky","S. Stamps","hack_2015",1,1
"C. Branecky","S. Tarlow","hack_2015",1,1
"C. Branecky","S. Liu","hack_2015",1,1
"C. Branecky","T. Heister","hack_2015",1,1
"C. Branecky","W. Bangerth","hack_2015",1,1
"C. Branecky","Y. He","hack_2015",1,1
"C. Thieulot","E. G. Puckett","hack_2015",1,4
