paper,section_name,nchar,text,journal
118 huang 1-s2.0-S0012821X12006772-main.pdf,introduction,5741,"1. Introduction and topography anomalies on Venus are highly correlated and show a relatively large ratio or admittance at lower degrees Despite of their similar sizes and compositions, Venus and the ( Fig. 1 ), suggesting a dynamic origin for these anomalies ( Pauer Earth show distinctly different surface tectonics and dynamic et al., 2006 ; Simons et al., 1997 ; Smrekar and Phillips, 1991 ). Mantle evolution. Venus is characterized by one-plate, stagnant-lid man- dynamic modeling of large topo",Earth and Planetary Science Letters
118 huang 1-s2.0-S0012821X12006772-main.pdf,model.setup,3338,"2. Model setup  E V 1 r E V 1 r Ã¾ Ã€ Ã°Ãž Ã¾ Ã€ Ã°Ãž core Z Z exp 8 Â¼ Ã€ Ã° Ãž r T T 1 T Ã¾ Ã¾ The Venus' mantle is treated as an infinite Prandtl number s s fluid in a three dimensional spherical shell under the extended Z where is a pre-exponential factor, which is used to specify the r Boussinesq approximation. The non-dimensional governing equa- viscosity contrast between the upper and lower mantle, and Z is r tions of mantle convection are ( Zhong, 2006 ; Zhong et al., 2008 ): reduced for",Earth and Planetary Science Letters
118 huang 1-s2.0-S0012821X12006772-main.pdf,numerical.results,13153,"3. Numerical results We quantify dynamic topography, geoid and number of upwelling plumes from our models. Dynamic topography and geoid anomalies are computed using a formulation that includes the self-gravitation and employs consistent boundary flux tech- niques ( Leng and Zhong, 2008 ). Dynamic topography includes contributions only from mantle dynamics with no contribution from the crust buoyancy ( Hager and Richards, 1989 ). The number of plumes is determined using the similar method in Leng",Earth and Planetary Science Letters
118 huang 1-s2.0-S0012821X12006772-main.pdf,discussions,3829,"4. Discussions plumes and the topography and geoid spectra the best ( Figs. 1 and 3 dand Table 2 ). All the cases with phase changes show Ourmodelsrepresent thefirstthree-dimensional spherical man- positively correlated topography and geoid, consistent with the tle convection calculations for Venus with realistic temperature- and observed ( Figs. 1, 6 and 7 ). pressure-dependent viscosity and phase changes, although previous Our results show that phase changes may affect convective studies consi",Earth and Planetary Science Letters
118 huang 1-s2.0-S0012821X12006772-main.pdf,conclusions,3238,"5. Conclusions wavelength mushroom-type convection for relatively uniform man- tle viscosity (Case 1) tolong-wavelength convection when endother- Compared with the observations, our model calculations lead mic phase change or weak asthenosphere is present ( Fig. 3 ). (3) to three conclusions. First, our models, as the first attempt for Schubert et al. (1997) studied the effects of phase changes on the global convection calculations for Venus with realistic mantle topography and geoid spectra in ",Earth and Planetary Science Letters
118 huang 1-s2.0-S0012821X12006772-main.pdf,x.other.,509,"phase change show relatively weak time-dependence, suggesting that the phase change may not be the Keywords: primary cause for ``catastrophic'' resurfacing on Venus. Our calculations also show that Venus cannot plate tectonics have a weak asthenosphere that is similar to that on the Earth, in order to match the observations, thus Venusian mantle dynamics supporting a key role of asthenosphere in producing plate tectonics. volcanism 2012 Elsevier B.V. All rights reserved. &amp; geoid topography a",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,introduction,5133,"1. Introduction Since the Cretaceous, the westward drift of the Americas has been fi opposed from the west by the adjacent plates in the Paci c basin, as The vast majority of subduction models indicate that isolated sub- revealed by the American Cordilleras. The load of these orogenies exerts duction systems naturally tend to retreat, i.e. their trenches migrate to- a force that is comparable in magnitude to plate tectonic driving forces ward the foreland, the unsubducted part of the downgoing l",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,force.balance.on.the.south.american.plate,12228,"2. Force balance on the South American plate 20Â° In order to investigate whether basal shear from the convecting 0Â° mantle is powerful enough to balance the force budget, we need to fl quantify both mantle ow and shear tractions beneath the South Atlan- tic. On the western side, the Andean load is balanced at the plate bound- -20Â° ary by interplate coupling and viscous forces in the deforming Nazca fi slab and Paci c mantle reservoir ( Husson et al., 2008 ). The eastern counterpart is more el",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,mantle.and.lithosphere.dynamics.in.the.south.atlantic,198,3. Mantle and lithosphere dynamics in the South Atlantic  plitude that scales with ) are merely an estimate of the tractions imp fl fl that may be missing from our ow models but should be present in,Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,mantle,3439,"3.1. Mantle ow patterns beneath the South Atlantic  the Earth if the actual net rotation is faster than . ref  The net shear traction underneath the lithosphere is predicted The net shear stresses beneath the lithosphere amount to a maxi- by the sum of contributions from the density-driven, plate-driven, mum of 4 MPa ( Fig. 1 b). Below South America, their directions are and net-rotation-driven models. It then writes well-aligned with the small circles associated with the Euler pole for the tota",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,divergence.of.the.basal.shear.stress,7108,"3.2. Divergence of the basal shear stress eld 1 1  t  Â¼    Ã¾ ; Ã° Ãž F dl dxdl F 4 o r rp fi L L The shear stress eld beneath the lithosphere shows the input of the L L fl underlying ow on lithosphere deformation. As such, mapping the di- fi where L is the length of the Nazca trench (total is 8000 km) and F vergence of the horizontal stress eld indicates areas undergoing com- o denotes the force locally exerted by the Andean orogen (set to pressive (negative divergence) and extensive (positive",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,relative.contributions.of.upwellings.and.downwellings,58,3.3. Relative contributions of upwellings and downwellings,Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,latitudinal.dependency.of.the.force.balance,11811,"3.4. Latitudinal dependency of the force balance The force balance that we have considered so far accounts for both The mean force balance supporting the Andes (summarized in upwellings and downwellings. Although it is consensual that subduct- Eq. (4) ) can be further decomposed by examining its latitudinal depen- ing slabs count among the main drivers of plate tectonics, and therefore dency. In order to do so, we integrated the basal shear tractions for our fl make the contribution of downwelli",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,discussion..south.america.and.africa.over.a.stationary.south,1124,"4. Discussion: South America and Africa over a stationary South not surprising given that the Nazca slab dips at an uncommonly low Atlantic cell angle in the upper mantle, before it enters a more vertical mode of sub- duction in the lower mantle. Thus, the South American plate likely fl The results of our dynamic models provide a framework onto which de ects the Nazca slab into the upper mantle, and only moderately the behavior of the South Atlantic convection cell and plate tectonics affects it",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,stability.of.vertical.currents.in.the.mantle,428,"4.1. Stability of vertical currents in the mantle rst-order geological observations that they pre- tic and Andes, and the fi In light of our model constraints on the dynamics of the South Atlan- those observations. our model results. Conversely, our results help to interpret some of 4.2. Speculations on the dynamic evolution of the South Atlantic system to Africa. The geological record can be used to test the plausibility of",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,speculations.on.the.dynamic.evolution.of.the.south.atlantic.system,12743,"4.2. Speculations on the dynamic evolution of the South Atlantic system our model results. Conversely, our results help to interpret some of those observations. In light of our model constraints on the dynamics of the South Atlan- fi tic and Andes, and the rst-order geological observations that they pre- 4.1. Stability of vertical currents in the mantle dict, we propose the following scenario, which assigns a primordial role to upwelling beneath Africa. The South Atlantic basin opened ca. In a m",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,conclusions,6224,"5. Conclusions Â­ Rev. 97, 117 144. doi: 10.1016/j.earscirev.2009.08.003 . Becker, T.W., 2006. On the effect of temperature and strain-rate viscosity on global fl Â­ Andean building is often considered to result from subduction of the mantle ow, net rotation, and driving forces. Geophys. J. Int. 167, 943 957. Becker, T.W., Faccenna, C., 2009. A review of the role of subduction dynamics for regional Nazca plate. This implicitly discards the role of basal drag as a primary and global plate motions",Earth and Planetary Science Letters
120 husson 1-s2.0-S0012821X11007084-main.pdf,x.other.,1009,"and upwellings amount to 38% and 23% of the total driving force, respectively. Further decomposition reveals Keywords: that the South Atlantic cell is most vigorous near its center, rendering the net drag force higher where the Andes Atlantic Andes also reach their highest elevation. Kinematic reconstructions suggest that the South Atlantic cell could subduction have grown owing to the migration of the Nazca slab until ~50 Ma. We propose that from 50 Ma onwards, the upwellings cell may have ceas",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,introduction,10406,"1. Introduction ducting plate can vary significantly within a subduction zone, in- cluding localized flat slab subduction as in the South American, The theory of plate tectonics has changed from a paradigm fo- Japan, and eastern Alaska subduction zones ( Gudmundsson and cused on rigid plates, predicting deformation is limited to within Sambridge, 1998; Gutscher et al., 2000; Song and Simons, 2003; a few tens of kilometers of the boundary, to a framework that Lallemand et al., 2005; Martinod et a",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,x3d.model.design.and.methods,666,"2. 3D model design and methods ). 2.1.1Â­2.1.3 subduction-transform system (Sections perature structure used in the geodynamic models of the Alaska mation. the finite-element mesh, plate boundary interface, and 3D tem- how the subducting plate couples into the overriding plate defor- ), is used to construct Billen, 2010, 2012; Jadamec et al., 2012 zone in the overriding lithosphere and providing more analysis of Jadamec, 2009; Jadamec and The C/C++ code, SlabGenerator ( by including a Denali fau",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,x3d.model.design.using.slabgenerator,642,"2.1. 3D model design using SlabGenerator here build on the 3D geodynamic models in Jadamec (2009) and Jadamec and Billen (2010, 2012) by including a Denali fault shear The C/C++ code, SlabGenerator ( Jadamec, 2009; Jadamec and zone in the overriding lithosphere and providing more analysis of Billen, 2010, 2012; Jadamec et al., 2012 ), is used to construct how the subducting plate couples into the overriding plate defor- the finite-element mesh, plate boundary interface, and 3D tem- mation. perat",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,model.domain,2039,"2.1.1. Model domain We construct 3D regional models of the Alaska subduction-   The model mesh spans 185 to 240 longitude (from the central transform plate boundary system that include an overriding plate   Aleutians to eastern British Columbia), 45 to 72 Nlatitude(from (the North American plate), a subducting plate (the Pacific plate), northern Oregon to the Arctic Ocean), and 0 to 1500 km in depth and the underlying mantle ( Fig. 2 and Table 2 ). The plates are sep- (from the Earth's surface t",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,geometry.and.thermal.structure.of.subducting.and.overriding,1214,"2.1.2. Geometry and thermal structure of subducting and overriding rane boundaries ( Greninger et al., 1999 ), and the integrative work plates characterizing the thermal structure of the lithosphere in western The shape and depth extent of the subducting plate is based Canada by Currie and Hyndman (2006) and Lewis et al. (2003) . on WadatiÂ­Benioff zone seismicity, seismic tomography, and seis- To test model sensitivity to the imposed variable thermal struc- mic reflection data ( Stephens et al.",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,plate.boundary.and.denali.fault.shear.zones,3228,"2.1.3. Plate boundary and Denali fault shear zones shape, extending to 325 km beneath the eastern Aleutians and The Plate Boundary Shear Zone (PBSZ) is a narrow low vis- Alaska Peninsula and extending to only 115 km to the east beneath cosity layer that separates the Pacific and North American plates the Wrangell volcanics ( Figs. 1 and 2 ). This slab shape was shown ( Jadamec, 2009; Jadamec and Billen, 2010, 2012, Jadamec et al., to provide a better fit to the observations of seismic anisotropy",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,x3d.numerical.modeling.using.citcomcu,1793,"2.2. 3D numerical modeling using CitcomCU 80 Myr), and ancestral North America (effective age of 80 Myr) ( Fig. 2 ). The choice of effective age is based on a synthesis of re- gional geophysical and geologic observations, including the surface The initial 3D plate boundary configuration and thermal struc- ture constructed by SlabGenerator are used as input to CitcomCU, heat flow ( Blackwell and Richards, 2004 ), location of Neogene vol- canism (Alaska Volcano Observatory; Plafker et al., 1994a )",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,finite.element.code..citcomcu,1231,"2.2.1. Finite element code, CitcomCU In post-processing, the height of the dynamic topography, h ,  = rr  The 3D models of the Alaska subduction-transform plate is determined assuming h , where is the difference in  g boundary system are run using the open source finite element mantle and surface density and g is the acceleration due to gravity. code CitcomCU ( Zhong, 2006; Moresi and Solomatov, 1995; Moresi  is the vertical stress acting on the underside of model surface rr calculated by Citcom",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,rheological.implementation.in.citcomcu,4535,"2.2.2. Rheological implementation in CitcomCU boundaries. 2D tests were also used to determine the necessary We use the composite viscosity,  , formulation in CitcomCU com box depth and width in order to minimize boundary condition ef- implemented by Jadamec and Billen (2010, 2012) that assumes the fectsonthe flowinthe subduction zone. total strain rate is a sum of the contributions from the diffusion 34 M.A. Jadamec et al. / Earth and Planetary Science Letters 376 (2013) 29Â­42 and dislocation ",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,results,792,"3. Results geologic and geodetic studies as the Wrangell block or south- ern Alaska block, and is conceptually similar to a fore-arc sliver We now show the effect of varying the viscosity (Newtonian ( Lahr and Plafker, 1980; Freymueller et al., 2008; Haeussler, 2008; versus composite), the strength of the plate boundary interface Kalbas et al., 2008; Freymueller and Elliot, 2011 )( Fig. 3 i). For con- (PBSZ), and the presence and strength of the Denali fault on the venience, will refer to this r",Earth and Planetary Science Letters
125 jadamec 1-s2.0-S0012821X13003257-main.pdf,viscosity.structure.and.plate.mantle.coupling,1597,"3.1. Viscosity structure and plate mantle coupling 1 18 1 16 - - - - Wrangell block is characterized by a low strain-rate interior In both the Newtonian and composite viscosity models, the ). Table 2 in south-central Alaska ( i). Fig. 3 ( viscosity structure, strain rate, velocity, and dynamic topography venience, will refer to this region hereafter as the Wrangell block (PBSZ), and the presence and strength of the Denali fault on the i). For con- Fig. 3 )( Kalbas et al., 2008; Freymueller and E",Earth and Planetary Science Letters
