file,journal
1 aagaard jgrb50217.pdf,Journal of Geophysical Research: Solid Earth 
2 Geophys. J. Int.-2014-Agius-1395-415.pdf,Geophysical Journal International 
3 Agius ggge20274.pdf,Geochemistry Geophysics Geosystems
4 Ali Geophys. J. Int.-2010-Ali-557-71.pdf,Geophysical Journal International 
5 alparone jgrb50364.pdf,Journal of Geophysical Research: Solid Earth 
6 Appelo 09077223x.pdf,Society for Industrial and Applied Mathematics 
7 arredondo 1-s2.0-S0031920112000349-main.pdf,Physics of the Earth and Planetary Interiors 
8 arrial On the Sensitivity of 3-D Thermal Convection Codes to Numerical D.pdf,Geoscientific Model Development 
9 arrial 1-s2.0-S0012821X12006978-main.pdf,Earth and Planetary Science Letters 
10 Bae_et_al-2010-Geophysical_Prospecting.pdf,Geophysical Prospecting
11 Bakir art%3A10.1007%2Fs00024-012-0482-8.pdf,Pure and Applied Geophysics 
12 Bakir art%3A10.1007%2Fs00024-011-0414-z.pdf,Pure and Applied Geophysics 
13 Geology-2013-Ballmer-G33804.1.pdf,Geology
14 Ballmer ggge20662.pdf,Geochemistry Geophysics Geosystems
15 a14-bangerth.pdf,ACM Transactions on Mathematical Software
16 Barbot_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
17 Barbot_et_al-2010-Geophysical_Journal_International (1).pdf,Geophysical Journal International 
18 Barriere dbfe70dce0b8f0586cd083fe58cad33b5887f39483ffaa7c18a655e0f8b250f3.pdf,Geophysical Journal International 
19 basini ggge20081.pdf,Geochemistry Geophysics Geosystems
20 a32-bautista-gomez.pdf,NA
21 Becker 1-s2.0-S0012821X11004857-main.pdf,Earth and Planetary Science Letters 
22 Beghein Science-2014-Beghein-science.1246724.pdf,Science Express
23 Beutal 1-s2.0-S0012821X10001081-main.pdf,Earth and Planetary Science Letters 
24 bharadwaj.pdf,Geophysical Journal International 
25 bianco jgrb16872.pdf,Journal of Geophysical Research 
26 billen1-s2.0-S0031920110001160-main.pdf,Physics of the Earth and Planetary Interiors 
27 billen ggge2110.pdf,Geochemistry Geophysics Geosystems
28 Bonaccorso 1-s2.0-S037702731200162X-main.pdf,Journal of Volcanology and Geothermal Researc 
29 boschi grl27487.pdf,Geophysical Research Letters
30 Boue Geophys. J. Int.-2013-Boué-844-8.pdf,Geophysical Journal International 
31 boue 1-s2.0-S0012821X14000636-main.pdf,Earth and Planetary Science Letters 
32 bower ggge20015 (1).pdf,Geochemistry Geophysics Geosystems
33 bower 1-s2.0-S0031920112001732-main.pdf,Physics of the Earth and Planetary Interiors 
34 bower 1-s2.0-S0012821X10008083-main.pdf,Earth and Planetary Science Letters 
35 ebru j.1365-246X.2009.04468.x.pdf,Geophysical Journal International 
36 ebru j.1365-246X.2011.04970.x.pdf,Geophysical Journal International 
37 Bruhat.pdf,Journal of Geophysical Research 
38 Geophys. J. Int.-2014-Buffett-597-608.pdf,Geophysical Journal International 
39 Buffet 1-s2.0-S0012821X14007456-main.pdf,Earth and Planetary Science Letters 
40 bull1-s2.0-S0031920110000518-main.pdf,Physics of the Earth and Planetary Interiors 
41 Lithosphere-2013-Burkett-92-7.pdf,Lithosphere
42 Burkett ggge1836.pdf,Geochemistry Geophysics Geosystems
44 chen grl51266.pdf,Geophysical Research Letters
45 chen jgrb51019.pdf,Journal of Geophysical Research: Solid Earth 
46 Chevrot_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
47 cho 65091041.pdf,Earth Planets Space
48 choi tect2294.pdf,Tectonics
49 Geophys. J. Int.-2014-Colombi-gji-ggu112.pdf,Geophysical Journal International 
50 Colombi_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
51 conrad Geological Society of America Bulletin-2013-Conrad-1027-52.pdf,GSA Bulletin
52 conrad ggge1701.pdf,Geochemistry Geophysics Geosystems
53 conrad nature12203.pdf,Nature
54 conrad 1-s2.0-S003192010900209X-main.pdf,Physics of the Earth and Planetary Interiors 
55 cottaar 1-s2.0-S0031920112000544-main.pdf,Physics of the Earth and Planetary Interiors 
56 cottaar ggge20409.pdf,Geochemistry Geophysics Geosystems
57 Cristini 1.3682459.pdf,Acoustical Society of America 
58 Geology-2011-Cruz-439-42.pdf,Geology
59 cruz jgrb16534.pdf,Journal of Geophysical Research 
60 Currenti_et_al-2010-Geophysical_Journal_International.pdf,Geophysical Journal International 
61 currenti 1-s2.0-S0012821X11005784-main.pdf,Earth and Planetary Science Letters 
62 danis 08120099%2E2010%2E481353.pdf,Australian Journal of Earth Sciences 
