journal,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulletin of the Seismological Society of America,1,NA,1,1,1,NA,2,6,3
Earth and Planetary Science Letters,5,6,4,6,3,3,3,5,4
"Geochemistry, Geophysics, Geosystems",3,3,4,5,3,3,2,4,3
Geology,2,3,2,1,NA,1,NA,NA,1
Geophysical Journal International,13,9,10,7,13,14,17,15,13
Geophysical Research Letters,2,1,4,3,4,4,2,2,9
Journal of Geophysical Research,6,3,9,7,7,4,5,NA,17
Nature,5,NA,4,2,1,2,4,2,5
Physics of the Earth and Planetary Interiors,4,1,3,2,2,2,5,2,4
Pure and Applied Geophysics,NA,NA,2,NA,1,2,3,5,2
Seismological Research Letters,NA,1,2,NA,NA,1,1,3,3
ZZZ,15,16,25,17,25,19,34,38,37
